location_set_version_id,location_set_id,location_id,parent_id,path_to_top_parent,level,is_estimate,most_detailed,sort_order,location_name,location_ascii_name,location_name_short,location_name_medium,location_type_id,location_type,map_id,super_region_id,super_region_name,region_id,region_name,ihme_loc_id,local_id,developed,start_date,end_date,date_inserted,last_updated,last_updated_by,last_updated_action
986,120,102,102,102,0,0,0,1.0,United States of America,United States of America,United States,United States of America,2,admin0,,,,,,USA,USA,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,523,102,"102,523",1,0,0,2.0,Alabama,Alabama,Alabama,Alabama,3,admin1,,,,,,USA_523,US-AL,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,596,523,"102,523,596",2,0,1,3.0,Jefferson County,Jefferson County,Jefferson,Jefferson County,4,admin2,,,,,,USA_596,1073,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,524,102,"102,524",1,0,0,4.0,Alaska,Alaska,Alaska,Alaska,3,admin1,,,,,,USA_524,US-AK,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,660,524,"102,524,660",2,0,1,5.0,Aleutians East Borough,Aleutians East Borough,Aleutians E,Aleutians East Borough,4,admin2,,,,,,USA_660,2013,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,661,524,"102,524,661",2,0,1,6.0,Aleutians West Census Area,Aleutians West Census Area,Aleutians W,Aleutians West Census Area,4,admin2,,,,,,USA_661,2016,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,649,524,"102,524,649",2,0,1,7.0,Anchorage Municipality,Anchorage Municipality,Anchorage,Anchorage Municipality,4,admin2,,,,,,USA_649,2020,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,648,524,"102,524,648",2,0,1,8.0,Bethel Census Area,Bethel Census Area,Bethel,Bethel Census Area,4,admin2,,,,,,USA_648,2050,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,644,524,"102,524,644",2,0,1,9.0,Bristol Bay Borough,Bristol Bay Borough,Bristol Bay,Bristol Bay Borough,4,admin2,,,,,,USA_644,2060,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,667,524,"102,524,667",2,0,1,10.0,Denali Borough,Denali Borough,Denali,Denali Borough,4,admin2,,,,,,USA_667,2068,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,651,524,"102,524,651",2,0,1,11.0,Dillingham Census Area,Dillingham Census Area,Dillingham,Dillingham Census Area,4,admin2,,,,,,USA_651,2070,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,643,524,"102,524,643",2,0,1,12.0,Fairbanks North Star Borough,Fairbanks North Star Borough,Fairbanks North Star,Fairbanks North Star Borough,4,admin2,,,,,,USA_643,2090,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,653,524,"102,524,653",2,0,1,13.0,Haines Borough,Haines Borough,Haines,Haines Borough,4,admin2,,,,,,USA_653,2100,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,4990,524,"102,524,4990",2,0,1,14.0,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,Hoonah-Angoon,Hoonah-Angoon Census Area,4,admin2,,,,,,USA_4990,2105,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,654,524,"102,524,654",2,0,1,15.0,Juneau City and Borough,Juneau City and Borough,Juneau,Juneau City and Borough,4,admin2,,,,,,USA_654,2110,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,650,524,"102,524,650",2,0,1,16.0,Kenai Peninsula Borough,Kenai Peninsula Borough,Kenai Peninsula,Kenai Peninsula Borough,4,admin2,,,,,,USA_650,2122,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,658,524,"102,524,658",2,0,1,17.0,Ketchikan Gateway Borough,Ketchikan Gateway Borough,Ketchikan Gateway,Ketchikan Gateway Borough,4,admin2,,,,,,USA_658,2130,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,655,524,"102,524,655",2,0,1,18.0,Kodiak Island Borough,Kodiak Island Borough,Kodiak Island,Kodiak Island Borough,4,admin2,,,,,,USA_655,2150,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,44633,524,"102,524,44633",2,0,1,19.0,Kusilvak Census Area,Kusilvak Census Area,Kusilvak,Kusilvak Census Area,4,admin2,,,,,,USA_44633,2158,,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,652,524,"102,524,652",2,0,1,20.0,Lake and Peninsula Borough,Lake and Peninsula Borough,Lake & Peninsula,Lake and Peninsula Borough,4,admin2,,,,,,USA_652,2164,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,646,524,"102,524,646",2,0,1,21.0,Matanuska-Susitna Borough,Matanuska-Susitna Borough,Matanuska-Susitna,Matanuska-Susitna Borough,4,admin2,,,,,,USA_646,2170,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,645,524,"102,524,645",2,0,1,22.0,Nome Census Area,Nome Census Area,Nome,Nome Census Area,4,admin2,,,,,,USA_645,2180,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,641,524,"102,524,641",2,0,1,23.0,North Slope Borough,North Slope Borough,N Slope,North Slope Borough,4,admin2,,,,,,USA_641,2185,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,642,524,"102,524,642",2,0,1,24.0,Northwest Arctic Borough,Northwest Arctic Borough,NW Arctic,Northwest Arctic Borough,4,admin2,,,,,,USA_642,2188,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,4991,524,"102,524,4991",2,0,1,25.0,Petersburg Borough,Petersburg Borough,Petersburg,Petersburg Borough,4,admin2,,,,,,USA_4991,2195,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,4992,524,"102,524,4992",2,0,1,26.0,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,Wales-Hyder,Prince of Wales-Hyder Census Area,4,admin2,,,,,,USA_4992,2198,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,656,524,"102,524,656",2,0,1,27.0,Sitka City and Borough,Sitka City and Borough,Sitka,Sitka City and Borough,4,admin2,,,,,,USA_656,2220,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,4993,524,"102,524,4993",2,0,1,28.0,Skagway Municipality,Skagway Municipality,Skagway,Skagway Municipality,4,admin2,,,,,,USA_4993,2230,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,666,524,"102,524,666",2,0,1,29.0,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,SE Fairbanks,Southeast Fairbanks Census Area,4,admin2,,,,,,USA_666,2240,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,662,524,"102,524,662",2,0,1,30.0,Valdez-Cordova Census Area,Valdez-Cordova Census Area,Valdez-Cordova,Valdez-Cordova Census Area,4,admin2,,,,,,USA_662,2261,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,647,524,"102,524,647",2,0,1,31.0,Wade Hampton Census Area,Wade Hampton Census Area,Wade Hampton,Wade Hampton Census Area,4,admin2,,,,,,USA_647,2270,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,4994,524,"102,524,4994",2,0,1,32.0,Wrangell City and Borough,Wrangell City and Borough,Wrangell,Wrangell City and Borough,4,admin2,,,,,,USA_4994,2275,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,663,524,"102,524,663",2,0,1,33.0,Yakutat City and Borough,Yakutat City and Borough,Yakutat,Yakutat City and Borough,4,admin2,,,,,,USA_663,2282,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,665,524,"102,524,665",2,0,1,34.0,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,Yukon-Koyukuk,Yukon-Koyukuk Census Area,4,admin2,,,,,,USA_665,2290,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,525,102,"102,525",1,0,0,35.0,Arizona,Arizona,Arizona,Arizona,3,admin1,,,,,,USA_525,US-AZ,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,675,525,"102,525,675",2,0,1,36.0,Maricopa County,Maricopa County,Maricopa,Maricopa County,4,admin2,,,,,,USA_675,4013,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,682,525,"102,525,682",2,0,1,37.0,Santa Cruz County,Santa Cruz County,Santa Cruz,Santa Cruz County,4,admin2,,,,,,USA_682,4023,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,672,525,"102,525,672",2,0,1,38.0,Yavapai County,Yavapai County,Yavapai,Yavapai County,4,admin2,,,,,,USA_672,4025,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,526,102,"102,526",1,0,0,39.0,Arkansas,Arkansas,Arkansas,Arkansas,3,admin1,,,,,,USA_526,US-AR,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,709,526,"102,526,709",2,0,1,40.0,Cleburne County,Cleburne County,Cleburne,Cleburne County,4,admin2,,,,,,USA_709,5023,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
986,120,725,526,"102,526,725",2,0,1,41.0,Pulaski County,Pulaski County,Pulaski,Pulaski County,4,admin2,,,,,,USA_725,5119,1,2021-12-14 11:42:45,,2021-12-14 11:42:45,2021-12-14 11:42:45,cheth,INSERT
